Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
APAlg_Scaffold_7180000000006|quiver_1935	-	-	-	GH28	N	1
APAlg_Scaffold_7180000000006|quiver_2027	-	-	-	CBM32	Y(1-20)	1
APAlg_Scaffold_7180000000006|quiver_2082	-	-	-	GH1	N	1
APAlg_Scaffold_7180000000006|quiver_2103	-	-	-	GT2	N	1
APAlg_Scaffold_7180000000006|quiver_2104	-	-	-	GT2	N	1
APAlg_Scaffold_7180000000006|quiver_2121	-	-	-	GT4	N	1
APAlg_Scaffold_7180000000006|quiver_2140	-	-	-	GT25	N	1
APAlg_Scaffold_7180000000006|quiver_2269	-	-	-	GH38	N	1
APAlg_Scaffold_7180000000006|quiver_2272	-	-	-	GH1	N	1
APAlg_Scaffold_7180000000006|quiver_2295	-	-	-	GT28	N	1
APAlg_Scaffold_7180000000006|quiver_2305	-	-	-	GH1	N	1
APAlg_Scaffold_7180000000006|quiver_2317	-	-	-	GH13_26	N	1
APAlg_Scaffold_7180000000006|quiver_2358	-	-	-	GT2	N	1
APAlg_Scaffold_7180000000006|quiver_2376	-	-	-	GH13	N	1
APAlg_Scaffold_7180000000006|quiver_2423	-	-	-	GH13_23	N	1
APAlg_Scaffold_7180000000006|quiver_2458	-	-	-	GH103	N	1
APAlg_Scaffold_7180000000006|quiver_2459	-	-	-	GH103	N	1
APAlg_Scaffold_7180000000006|quiver_2540	-	-	-	GT51	N	1
APAlg_Scaffold_7180000000006|quiver_2576	-	-	-	GH18	N	1
APAlg_Scaffold_7180000000006|quiver_2633	-	-	-	GT58	N	1
APAlg_Scaffold_7180000000006|quiver_2810	-	-	-	GT22	N	1
APAlg_Scaffold_7180000000006|quiver_2811	-	-	-	GT2	N	1
APAlg_Scaffold_7180000000006|quiver_2949	-	-	-	CBM50	N	1
APAlg_Scaffold_7180000000006|quiver_3086	-	-	-	CE8	N	1
APAlg_Scaffold_7180000000006|quiver_3109	-	-	-	GH39	N	1
APAlg_Scaffold_7180000000006|quiver_3235	-	-	-	GH65	N	1
APAlg_Scaffold_7180000000006|quiver_3367	-	-	-	GH92	N	1
APAlg_Scaffold_7180000000006|quiver_3449	-	-	-	GT51	N	1
