Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_683	QEO97765.1|GH28	70.6	262	75	1	1	260	1	262	2.76e-119	369
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_831	ALG89085.1|GT51	74.5	718	180	2	1	715	1	718	0.0	1023
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_839	ALG89092.1|GH23	63.0	625	231	0	22	646	17	641	1.18e-270	761
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_849	ALG89102.1|GH103	77.0	392	88	2	1	391	1	391	5.19e-222	617
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_911	CCO12868.2|GH1	46.6	1385	496	11	19	1362	7	1189	0.0	1163
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_915	CAD7226128.1|GH38	35.3	747	394	16	11	705	1345	2054	4.38e-120	402
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_968	BCG78297.1|GT51	69.6	250	72	2	1	246	1	250	1.30e-118	343
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1015	ALR08738.2|GT83	39.2	590	337	10	5	583	2	580	1.08e-126	389
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1051	ALG91082.1|GT14	73.7	525	138	0	1	525	1	525	1.72e-297	819
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1089	UPU88665.1|CBM2	40.1	726	322	28	527	1219	217	862	4.32e-108	372
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1135	QOF98722.1|GT87	53.1	550	251	4	6	550	12	559	2.06e-198	570
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1157	CDM22846.1|GT51	50.2	420	198	5	4	418	895	1308	2.25e-121	387
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1176	ALR09732.2|GH92	36.3	753	425	15	14	734	4	733	1.78e-122	388
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1225	ALG89736.1|GH23	63.3	256	93	1	9	264	9	263	1.49e-104	309
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1240	QOV94503.1|GT35	57.2	271	109	4	1	268	1	267	3.00e-114	334
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1263	BAQ68975.1|GT30	55.7	420	174	6	1	412	1	416	1.22e-132	392
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1276	ASX12913.1|GT2	61.4	319	119	3	23	337	4	322	1.29e-132	387
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1279	CAE6204650.1|GH28	50.8	600	287	4	5	597	745	1343	3.11e-199	600
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1281	QEO97765.1|GH28	70.6	262	75	1	1	260	1	262	2.76e-119	369
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1305	CAG7883609.1|GT1	37.7	855	480	11	25	834	192	1038	1.23e-164	511
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1311	QBQ55251.1|CBM50	42.4	871	470	9	7	855	38	898	5.18e-178	547
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1320	ALG91957.1|GT2	68.6	593	186	0	30	622	1	593	3.77e-293	816
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1448	AMJ20543.1|GH13_11	61.3	382	147	1	15	396	1	381	3.42e-162	468
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1452	CAE6201330.1|GH1	37.5	638	367	13	3	618	582	1209	4.02e-129	414
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1477	AKH99103.1|CBM50	54.7	530	232	3	1	523	4	532	3.62e-204	587
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1512	AJE48041.1|GT2	65.1	601	203	5	3	598	5	603	6.15e-270	755
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1626	CAB3230510.1|AA3_2	48.5	561	272	6	2	551	24	578	1.04e-175	513
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1630	QCW79542.1|GH101	55.0	462	204	2	52	509	607	1068	4.30e-173	521
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1698	QKX55086.1|GH55	38.3	603	319	13	4	569	797	1383	4.44e-128	413
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1758	AMM86063.1|GT4	56.8	400	170	1	1	397	5	404	1.38e-145	425
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1787	ALG90998.1|GT107	72.6	668	170	5	3	658	18	684	0.0	949
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1789	QXI64491.1|GT0	55.9	415	183	0	9	423	28	442	7.33e-156	453
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1792	UAB77099.1|GH23	57.8	358	147	3	14	371	360	713	4.60e-131	396
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1855	ALG91826.1|CE11	72.9	303	81	1	14	316	1	302	7.18e-153	435
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1958	ALG90144.1|GT0	75.4	297	72	1	3	299	4	299	6.92e-159	449
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1969	CAA2140597.1|GH108	54.9	297	129	3	14	308	27	320	1.98e-110	340
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1983	ALG90163.1|GH0	65.8	1321	426	5	1	1314	1	1302	0.0	1737
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2046	ARC88994.1|GH3	67.3	333	109	0	4	336	6	338	2.51e-153	438
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2110	CCO12102.2|GH13_31	52.1	334	149	4	11	337	5	334	1.09e-103	313
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2209	ALG89942.1|GT2	78.3	276	60	0	1	276	1	276	8.97e-157	442
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2260	AKO99732.1|GT8	81.5	265	49	0	1	265	1	265	1.12e-158	446
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2334	AZV31449.1|GH23	42.5	577	316	9	31	602	241	806	5.53e-134	425
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2353	ARE38302.1|GT19	74.3	389	97	1	1	386	6	394	1.68e-190	537
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2459	ARU00560.1|GH108	78.7	202	43	0	1	202	1	202	2.46e-108	313
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2483	CCO12112.2|GH13_31	63.4	424	150	3	1	419	1	424	7.24e-187	531
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2495	ALG90607.1|GT51	80.2	849	167	1	8	856	3	850	0.0	1364
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2501	QYU68416.1|GT2	72.8	309	84	0	7	315	414	722	2.38e-146	436
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2544	AGL64700.2|GH23	49.1	346	168	3	5	342	6	351	4.04e-107	322
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2559	ALG89935.1|GT0	63.0	341	126	0	1	341	1	341	1.56e-159	454
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2560	ALG89933.1|GT0	57.7	787	317	3	3	773	2	788	2.14e-313	880
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2562	ALG89931.1|GT0	66.9	338	112	0	1	338	1	338	5.12e-170	481
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2595	ARE39996.1|CBM50	56.9	383	152	8	2	378	5	380	7.68e-130	382
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2606	AHC21644.2|GH1	46.3	477	253	2	11	487	8	481	8.02e-147	437
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2636	ALI93560.1|GH18	47.4	388	190	7	22	399	390	773	1.11e-110	347
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2760	UKZ91289.1|AA0	55.2	747	299	6	8	720	6	750	1.03e-286	809
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2776	ALG89828.1|GT28	79.7	365	74	0	3	367	4	368	1.32e-203	568
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2853	CAD7221988.1|GH103	37.4	601	356	8	27	616	34	625	1.69e-114	377
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2926	QEO97765.1|GH28	70.6	262	75	1	1	260	1	262	2.76e-119	369
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2953	AWZ17133.1|GH13_30	35.9	1089	619	22	1	1040	401	1459	1.87e-181	579
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2979	CAG7911095.1|GH5_11	36.4	1043	476	21	5	1026	582	1458	2.59e-191	599
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2981	CAN65674.1|GH28	44.4	567	287	7	58	621	89	630	2.69e-156	488
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3050	QYO62262.1|GH13	69.9	335	100	1	3	337	2	335	1.06e-148	439
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3073	CAE6201330.1|GH1	53.9	648	283	9	8	642	566	1210	1.56e-234	689
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3126	CAD7245033.1|GT58	77.3	476	100	2	6	474	1055	1529	4.15e-233	700
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3132	AGL63717.2|GT4	43.2	634	298	9	182	758	107	735	3.37e-163	495
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3237	CAD7251071.1|GT51	60.1	343	137	0	4	346	215	557	2.62e-132	413
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3281	QEW28092.1|CE4	80.1	467	93	0	3	469	4	470	8.61e-285	782
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3344	ATX67156.1|GT4	57.9	406	161	5	1	400	1	402	6.75e-160	460
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3347	AZV31449.1|GH23	60.9	363	141	1	1	363	817	1178	4.57e-147	450
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3348	AZV31449.1|GH23	33.2	639	392	14	14	639	207	823	2.16e-108	358
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3353	UQZ82377.1|CBM50	44.1	621	337	7	18	632	39	655	1.62e-175	521
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3390	QYZ69891.1|GT0	55.0	362	156	6	20	380	1	356	2.97e-123	365
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3392	CUS02994.2|GT2	42.0	557	262	13	693	1198	2	548	2.09e-114	373
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3421	AZL15609.1|GH0	68.2	308	98	0	3	310	4	311	3.81e-150	429
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3422	CAD7280782.1|GT2	53.9	358	152	3	21	377	1794	2139	2.53e-112	367
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3424	QKX60855.1|GT22	64.7	286	98	2	5	289	577	860	8.25e-113	350
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3425	CAD7280782.1|GT2	46.1	809	377	12	177	947	390	1177	2.42e-225	710
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3462	QKX52201.1|CBM50	32.0	734	437	14	17	703	22	740	4.50e-105	348
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3472	QWA11134.1|GT2	52.2	335	152	5	1	328	288	621	2.69e-113	347
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3474	QAY63367.1|GT2	56.1	285	124	1	5	289	317	600	9.98e-104	319
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3481	QBR38580.1|GT2|GT4	60.3	315	120	2	11	324	7	317	7.47e-111	342
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3482	QBR38580.1|GT2|GT4	60.6	383	149	1	3	383	322	704	1.18e-160	472
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3484	ASP23214.1|GT4	67.7	384	122	1	1	384	1	382	1.37e-184	521
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3490	QEO97765.1|GH28	70.6	262	75	1	1	260	1	262	2.76e-119	369
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3501	QBR38598.1|GT2	61.3	331	117	3	20	344	17	342	2.52e-139	404
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3502	ASP23279.1|GT2	55.1	296	130	2	6	298	1	296	6.37e-107	318
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3506	QBR38595.1|GT2	53.4	311	145	0	20	330	15	325	7.68e-106	318
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3507	QBR38594.1|GT2	72.7	289	78	1	9	296	14	302	4.00e-152	433
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3510	QBR38592.1|GT2	59.8	371	148	1	4	373	7	377	1.20e-146	428
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3511	QEU08321.1|GT4	46.6	365	185	5	3	361	11	371	5.58e-106	322
APOce_Scaffold_7180000000011|quiver_21	ALG92216.1|GH23	98.5	204	3	0	1	204	1	204	7.25e-138	388
APOce_Scaffold_7180000000011|quiver_26	AUQ60761.1|GH23	97.9	384	8	0	1	384	1	384	4.36e-261	715
APOce_Scaffold_7180000000011|quiver_139	QEO97765.1|GH28	70.6	262	75	1	1	260	1	262	2.76e-119	369
