Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1969	-	-	-	GH108	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1983	-	-	-	GH0	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2110	-	-	-	GH13_31	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2334	-	-	-	GH23	Y(1-28)	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2483	-	-	-	GH13_31	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2501	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2544	-	-	-	GH23	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2606	-	-	-	GH1	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2636	-	-	-	GH18	Y(1-20)	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2853	-	-	-	GH103	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2926	-	-	-	GH28	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2953	-	-	-	GH13_30	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2979	-	-	-	GH5_11	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2981	-	-	-	GH28	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3050	-	-	-	GH13	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3073	-	-	-	GH1	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3126	-	-	-	GT58	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3132	-	-	-	GT4	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3237	-	-	-	GT51	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3347	-	-	-	GH23	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3348	-	-	-	GH23	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3353	-	-	-	CBM50	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3390	-	-	-	GT0	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3392	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3421	-	-	-	GH0	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3422	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3424	-	-	-	GT22	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3425	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3462	-	-	-	CBM50	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3472	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3474	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3490	-	-	-	GH28	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3506	-	-	-	GT2	N	1
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3511	-	-	-	GT4	N	1
APOce_Scaffold_7180000000011|quiver_139	-	-	-	GH28	N	1
