Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
PolalgTG_Scaffold_7180000000002|quiver_879	-	-	-	GT1	N	1
PolalgTG_Scaffold_7180000000002|quiver_911	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_914	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_1003	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_1013	-	-	-	GH92	N	1
PolalgTG_Scaffold_7180000000002|quiver_1027	-	-	-	GH39	N	1
PolalgTG_Scaffold_7180000000002|quiver_1043	-	-	-	CBM50	N	1
PolalgTG_Scaffold_7180000000002|quiver_1063	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_1160	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_1233	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_1281	-	-	-	GT28	N	1
PolalgTG_Scaffold_7180000000002|quiver_1348	-	-	-	GT4	N	1
PolalgTG_Scaffold_7180000000002|quiver_1356	-	-	-	GT2	Y(1-21)	1
PolalgTG_Scaffold_7180000000002|quiver_1425	-	-	-	GH28	N	1
PolalgTG_Scaffold_7180000000002|quiver_1517	-	-	-	CBM50	N	1
PolalgTG_Scaffold_7180000000002|quiver_1539	-	-	-	GH103	N	1
PolalgTG_Scaffold_7180000000002|quiver_1540	-	-	-	GH103	N	1
PolalgTG_Scaffold_7180000000002|quiver_1626	-	-	-	GH73	Y(1-36)	1
PolalgTG_Scaffold_7180000000002|quiver_1642	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_1671	-	-	-	GH13	N	1
PolalgTG_Scaffold_7180000000002|quiver_1692	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_1704	-	-	-	GT4	N	1
PolalgTG_Scaffold_7180000000002|quiver_1708	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_1772	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_1773	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_1849	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_1850	-	-	-	GT22	N	1
PolalgTG_Scaffold_7180000000002|quiver_1882	-	-	-	GH13_26	N	1
PolalgTG_Scaffold_7180000000002|quiver_1949	-	-	-	PL4_2	N	1
PolalgTG_Scaffold_7180000000002|quiver_2008	-	-	-	GT83	N	1
PolalgTG_Scaffold_7180000000002|quiver_2011	-	-	-	GH13_11	N	1
PolalgTG_Scaffold_7180000000002|quiver_2021	-	-	-	GT87	N	1
PolalgTG_Scaffold_7180000000002|quiver_2072	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_2073	-	-	-	GT2	N	1
PolalgTG_Scaffold_7180000000002|quiver_2103	-	-	-	GT25	N	1
PolalgTG_Scaffold_7180000000002|quiver_2118	-	-	-	GH28	N	1
PolalgTG_Scaffold_7180000000002|quiver_2261	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_2263	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_2289	-	-	-	GH28	N	1
PolalgTG_Scaffold_7180000000002|quiver_2369	-	-	-	GH28	N	1
PolalgTG_Scaffold_7180000000002|quiver_2435	-	-	-	CBM50+GH25	N	1
PolalgTG_Scaffold_7180000000002|quiver_2439	-	-	-	GH23	N	1
PolalgTG_Scaffold_7180000000002|quiver_2508	-	-	-	GH28	N	1
PolalgTG_Scaffold_7180000000002|quiver_2552	-	-	-	CBM50	Y(1-22)	1
PolalgTG_Scaffold_7180000000002|quiver_2576	-	-	-	GH5_11	N	1
PolalgTG_Scaffold_7180000000002|quiver_2620	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_2759	-	-	-	GT4	N	1
PolalgTG_Scaffold_7180000000002|quiver_2804	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_2829	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_2894	-	-	-	GH103	N	1
PolalgTG_Scaffold_7180000000002|quiver_2965	-	-	-	GH13_23	N	1
PolalgTG_Scaffold_7180000000002|quiver_3009	-	-	-	GT4	N	1
PolalgTG_Scaffold_7180000000002|quiver_3067	-	-	-	GH28	N	1
PolalgTG_Scaffold_7180000000002|quiver_3085	-	-	-	GH152	N	1
PolalgTG_Scaffold_7180000000002|quiver_3143	-	-	-	GH1	N	1
PolalgTG_Scaffold_7180000000002|quiver_3173	-	-	-	GH18	N	1
PolalgTG_Scaffold_7180000000002|quiver_3174	-	-	-	GH0	N	1
PolalgTG_Scaffold_7180000000002|quiver_3226	-	-	-	GH13_31	N	1
PolalgTG_Scaffold_7180000000002|quiver_3239	-	-	-	GH13_30	N	1
PolalgTG_Scaffold_7180000000002|quiver_3275	-	-	-	GH13	N	1
PolalgTG_Scaffold_7180000000002|quiver_3279	-	-	-	GT2	N	1
