HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM57.hmm	147	APMar_Scaffold_7180000000032|quiver_1760	2692	1e-32	3	146	773	914	0.9727891156462585
AA5_2.hmm	588	APMar_Scaffold_7180000000032|quiver_1760	2692	8.8e-136	115	588	1205	1676	0.8044217687074829
GT2.hmm	170	APMar_Scaffold_7180000000032|quiver_1763	324	3.6e-30	1	114	9	119	0.6647058823529411
GH23.hmm	135	APMar_Scaffold_7180000000032|quiver_1854	540	5.7e-24	2	123	113	252	0.8962962962962963
CE1.hmm	227	APMar_Scaffold_7180000000032|quiver_211	280	1.6e-52	1	223	23	273	0.9779735682819384
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_221	507	2.6e-30	8	158	316	475	0.9375
GH166.hmm	224	APMar_Scaffold_7180000000032|quiver_226	923	3.7e-71	1	224	48	271	0.9955357142857143
GT2.hmm	230	APMar_Scaffold_7180000000032|quiver_339	495	5.1e-53	1	230	87	343	0.9956521739130435
PL5.hmm	317	APMar_Scaffold_7180000000032|quiver_348	395	7.1e-92	3	304	39	341	0.9495268138801262
GT51.hmm	177	APMar_Scaffold_7180000000032|quiver_586	789	1.8e-55	9	176	182	353	0.943502824858757
GT9.hmm	225	APMar_Scaffold_7180000000032|quiver_694	354	3.6e-49	3	205	79	307	0.8977777777777778
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_696	373	8.1e-37	5	156	189	338	0.94375
GT25.hmm	181	APMar_Scaffold_7180000000032|quiver_698	252	1.9e-36	3	181	9	185	0.9834254143646409
GT83.hmm	540	APMar_Scaffold_7180000000032|quiver_703	491	8.1e-92	6	360	3	377	0.6555555555555556
GT2.hmm	170	APMar_Scaffold_7180000000032|quiver_704	343	5.3e-35	1	168	18	180	0.9823529411764705
GT2.hmm	170	APMar_Scaffold_7180000000032|quiver_707	672	1.2e-17	4	131	424	541	0.7470588235294118
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_711	353	3.9e-22	6	142	172	300	0.85
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_712	372	1e-28	7	152	188	337	0.90625
GT30.hmm	177	APMar_Scaffold_7180000000032|quiver_715	423	2.7e-71	2	176	34	210	0.9830508474576272
GT51.hmm	177	APMar_Scaffold_7180000000032|quiver_744	829	2e-68	2	176	59	233	0.9830508474576272
GT28.hmm	157	APMar_Scaffold_7180000000032|quiver_832	362	2.2e-51	2	157	187	347	0.9872611464968153
CE11.hmm	271	APMar_Scaffold_7180000000032|quiver_838	305	2.2e-115	1	270	4	275	0.992619926199262
GH103.hmm	295	APMar_Scaffold_7180000000032|quiver_873	342	5e-97	8	294	36	323	0.9694915254237289
CE1.hmm	227	APMar_Scaffold_7180000000032|quiver_93	282	1.8e-53	1	226	21	277	0.9911894273127754
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_970	424	3.4e-30	6	156	233	377	0.9375
AA1.hmm	358	APMar_Scaffold_7180000000033|quiver_106	525	1.1e-33	16	357	96	516	0.952513966480447
GT2.hmm	170	APMar_Scaffold_7180000000033|quiver_164	248	2.2e-18	1	127	19	134	0.7411764705882353
GH23.hmm	135	APMar_Scaffold_7180000000033|quiver_190	506	1.4e-23	15	123	302	449	0.8
GT81.hmm	293	APMar_Scaffold_7180000000033|quiver_23	407	1.8e-68	16	273	30	320	0.8771331058020477
AA6.hmm	195	APMar_Scaffold_7180000000033|quiver_233	201	3.9e-68	2	195	8	198	0.9897435897435898
GH13_18.hmm	343	APMar_Scaffold_7180000000033|quiver_24	577	1.8e-143	2	343	87	428	0.9941690962099126
CE13.hmm	355	APMar_Scaffold_7180000000033|quiver_326	466	1.2e-43	9	186	79	269	0.49859154929577465
GT19.hmm	354	APMar_Scaffold_7180000000033|quiver_63	395	4.2e-137	2	353	18	374	0.9915254237288136
AA1.hmm	358	APMar_Scaffold_7180000000033|quiver_84	629	4.1e-65	7	357	58	601	0.9776536312849162
GH103.hmm	295	APMar_Scaffold_7180000000034|quiver_168	423	1.2e-113	1	295	43	336	0.9966101694915255
AA3.hmm	618	APMar_Scaffold_7180000000034|quiver_193	531	1.3e-52	84	401	25	528	0.5129449838187702
GH23.hmm	135	APMar_Scaffold_7180000000034|quiver_541	459	6.4e-22	7	122	297	451	0.8518518518518519
AA3_2.hmm	568	APMar_Scaffold_7180000000034|quiver_554	562	2.6e-168	2	566	5	529	0.9929577464788732
AA3_2.hmm	568	APMar_Scaffold_7180000000034|quiver_571	556	6.8e-164	2	566	12	552	0.9929577464788732
GH13_24.hmm	295	APMar_Scaffold_7180000000034|quiver_615	572	2.7e-98	1	295	52	323	0.9966101694915255
CBM20.hmm	90	APMar_Scaffold_7180000000034|quiver_615	572	2.4e-27	2	89	474	564	0.9666666666666667
GH84.hmm	295	APMar_Scaffold_7180000000034|quiver_92	358	2.8e-84	2	291	8	302	0.9796610169491525
GT4.hmm	160	APMar_Scaffold_7180000000035|quiver_191	739	2.3e-39	8	159	554	705	0.94375
AA3.hmm	618	APMar_Scaffold_7180000000035|quiver_320	527	2.5e-51	88	397	13	517	0.5
CE1.hmm	227	APMar_Scaffold_7180000000035|quiver_370	581	3e-25	5	143	48	220	0.6079295154185022
GT51.hmm	177	APMar_Scaffold_7180000000035|quiver_372	229	2.5e-52	11	176	50	214	0.9322033898305084
GH23.hmm	135	APMar_Scaffold_7180000000035|quiver_374	234	5.8e-27	13	117	120	223	0.7703703703703704
AA1.hmm	358	APMar_Scaffold_7180000000035|quiver_49	622	1.2e-64	7	357	71	614	0.9776536312849162
GH73.hmm	128	APMar_Scaffold_7180000000035|quiver_600	309	3.7e-25	12	128	137	263	0.90625
GT2.hmm	170	APMar_Scaffold_7180000000035|quiver_612	289	6.1e-27	1	165	4	155	0.9647058823529412
GT4.hmm	160	APMar_Scaffold_7180000000035|quiver_631	397	2.7e-25	39	160	221	363	0.75625
GT4.hmm	160	APMar_Scaffold_7180000000035|quiver_633	391	6.7e-16	13	148	210	344	0.84375
AA7.hmm	458	APMar_Scaffold_7180000000035|quiver_68	491	1.1e-21	15	191	47	230	0.38427947598253276
GH73.hmm	128	APMar_Scaffold_7180000000039|quiver_106	330	2.2e-37	3	125	178	314	0.953125
