Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
APMar_Scaffold_7180000000035|quiver_374	ARM83287.1|GH23	99.6	233	1	0	1	233	1	233	1.45e-165	461
APMar_Scaffold_7180000000035|quiver_405	ARM83320.1|GH23	99.5	217	1	0	1	217	1	217	1.04e-166	462
APMar_Scaffold_7180000000035|quiver_447	AKG14948.2|GT28	38.0	722	364	18	8	674	6	698	6.28e-130	404
APMar_Scaffold_7180000000035|quiver_477	AWP05996.1|GT25	34.4	587	363	10	31	606	70	645	1.74e-105	352
APMar_Scaffold_7180000000035|quiver_513	AZR42261.1|CBM50	99.6	451	2	0	1	451	1	451	0.0	887
APMar_Scaffold_7180000000035|quiver_542	AMJ20771.1|GH13_26	63.7	860	309	2	4	862	1	858	0.0	1149
APMar_Scaffold_7180000000035|quiver_600	AHI30473.1|GH73	100	308	0	0	1	308	1	308	2.79e-221	608
APMar_Scaffold_7180000000035|quiver_612	AWV87483.1|GT2	58.2	280	116	1	1	280	1	279	9.84e-111	326
APMar_Scaffold_7180000000035|quiver_626	ATD28519.1|GT0	54.5	308	140	0	2	309	54	361	2.45e-113	337
APMar_Scaffold_7180000000035|quiver_633	QQD21911.1|GT4	66.3	377	127	0	11	387	3	379	3.73e-186	525
APMar_Scaffold_7180000000035|quiver_634	VEJ19452.1|GT4	68.8	340	102	3	1	339	368	704	5.89e-154	454
APMar_Scaffold_7180000000035|quiver_637	AFP31435.1|GT4	80.0	380	76	0	1	380	1	380	1.66e-224	622
APMar_Scaffold_7180000000035|quiver_641	CAI32746.2|GT4	57.7	392	160	1	1	386	1	392	2.88e-155	447
APMar_Scaffold_7180000000035|quiver_667	QYO62262.1|GH13	67.3	336	109	1	3	338	2	336	1.22e-148	439
APMar_Scaffold_7180000000034|quiver_72	QYU66396.1|GH13_23	54.8	456	197	6	9	460	6	456	1.57e-147	444
APMar_Scaffold_7180000000034|quiver_92	AHI30650.1|GH84	99.7	357	1	0	1	357	1	357	1.88e-271	739
APMar_Scaffold_7180000000034|quiver_168	AZR41551.1|GH103	100	422	0	0	1	422	1	422	2.21e-312	848
APMar_Scaffold_7180000000034|quiver_350	ALI93560.1|GH18	49.7	392	183	6	53	433	385	773	1.57e-117	366
APMar_Scaffold_7180000000034|quiver_362	QUF70630.1|GH24	56.7	633	260	5	7	629	4	632	1.82e-172	525
APMar_Scaffold_7180000000034|quiver_367	AXG45674.1|GH6	59.5	880	352	2	1	879	1	877	0.0	1000
APMar_Scaffold_7180000000034|quiver_457	QBQ55156.1|CBM50	38.2	608	361	8	139	743	109	704	2.52e-115	375
APMar_Scaffold_7180000000034|quiver_541	AZR41217.1|GH23	98.9	458	5	0	1	458	1	458	0.0	912
APMar_Scaffold_7180000000034|quiver_554	AWP09430.1|AA3_2	52.9	550	249	3	1	541	15	563	7.48e-195	562
APMar_Scaffold_7180000000034|quiver_571	CAD2222301.1|AA3	56.0	548	223	7	13	552	10	547	9.58e-211	601
APMar_Scaffold_7180000000034|quiver_585	CAD7245033.1|GT58	65.1	473	148	5	2	458	1053	1524	5.28e-189	582
APMar_Scaffold_7180000000034|quiver_615	AZR41141.1|CBM20|GH13_32	99.8	571	1	0	1	571	1	571	0.0	1159
APMar_Scaffold_7180000000034|quiver_628	ARM82279.1|CBM50	99.4	338	2	0	1	338	1	338	9.24e-242	662
APMar_Scaffold_7180000000043|quiver_38	AGL64345.2|GT2	47.1	594	287	7	264	839	266	850	2.53e-173	528
APMar_Scaffold_7180000000032|quiver_108	QCE13289.1|CE8	58.3	408	145	2	2	385	406	812	2.51e-151	467
APMar_Scaffold_7180000000032|quiver_180	QPK65345.1|GT1	49.2	366	169	5	3	364	424	776	7.38e-106	333
APMar_Scaffold_7180000000032|quiver_212	CAG7895893.1|GT1	45.8	371	195	4	7	375	35	401	5.53e-108	342
APMar_Scaffold_7180000000032|quiver_221	ARM85971.1|GT4	100	506	0	0	1	506	1	506	0.0	1012
APMar_Scaffold_7180000000032|quiver_226	ARM85966.1|GH166	99.3	922	6	0	1	922	15	936	0.0	1865
APMar_Scaffold_7180000000032|quiver_251	ANY76318.1|CBM50	36.2	589	335	14	35	605	31	596	2.52e-109	348
APMar_Scaffold_7180000000032|quiver_257	CAE6153416.1|PL4_2	45.7	348	184	5	6	351	594	938	3.67e-103	329
APMar_Scaffold_7180000000032|quiver_328	UQC83749.1|GT32	39.1	545	289	10	49	554	939	1479	2.76e-108	359
APMar_Scaffold_7180000000032|quiver_338	BBJ45253.1|GT4	49.4	425	207	3	1	420	1	422	1.82e-141	421
APMar_Scaffold_7180000000032|quiver_339	AHI31938.1|GT2	99.8	494	1	0	1	494	1	494	0.0	981
APMar_Scaffold_7180000000032|quiver_348	ARM85854.1|PL5	99.2	394	3	0	1	394	1	394	2.79e-294	800
APMar_Scaffold_7180000000032|quiver_349	AGN91810.2|GT4	53.3	471	216	2	1	467	2	472	3.16e-170	493
APMar_Scaffold_7180000000032|quiver_393	AHI31965.1|CE4	99.4	316	2	0	1	316	1	316	2.56e-246	672
APMar_Scaffold_7180000000032|quiver_442	UOH82475.1|GH15	49.6	379	182	4	22	391	171	549	5.76e-105	336
APMar_Scaffold_7180000000032|quiver_493	CDM22846.1|GT51	59.4	411	164	1	4	411	895	1305	4.44e-166	505
APMar_Scaffold_7180000000032|quiver_586	AZR40469.1|GT51	100	788	0	0	1	788	1	788	0.0	1567
APMar_Scaffold_7180000000032|quiver_604	QJD71572.1|CBM50	48.9	366	177	4	95	455	65	425	9.52e-115	349
APMar_Scaffold_7180000000032|quiver_622	CCO12868.2|GH1	45.5	1414	515	10	17	1392	7	1203	0.0	1176
APMar_Scaffold_7180000000032|quiver_625	CAD7226128.1|GH38	35.6	722	390	14	11	688	1345	2035	3.46e-123	410
APMar_Scaffold_7180000000032|quiver_694	AHI32781.1|GT9	93.8	341	21	0	13	353	2	342	1.65e-233	642
APMar_Scaffold_7180000000032|quiver_696	AOY90267.1|GT4	80.9	362	69	0	10	371	1	362	7.96e-219	607
APMar_Scaffold_7180000000032|quiver_698	AHI32784.1|GT25	100	251	0	0	1	251	1	251	2.35e-189	522
APMar_Scaffold_7180000000032|quiver_699	AHI33417.1|GT32	99.5	215	1	0	1	215	1	215	6.02e-165	457
APMar_Scaffold_7180000000032|quiver_703	AHI32787.1|GT83	98.0	490	10	0	1	490	1	490	0.0	964
APMar_Scaffold_7180000000032|quiver_704	AHI32788.1|GT2	99.4	342	2	0	1	342	1	342	1.79e-241	662
APMar_Scaffold_7180000000032|quiver_707	AOY90266.1|GT2	73.5	657	174	0	9	665	1	657	0.0	952
APMar_Scaffold_7180000000032|quiver_711	AHI32809.1|GT4	99.7	352	1	0	1	352	1	352	1.57e-256	701
APMar_Scaffold_7180000000032|quiver_712	AZR40352.1|GT4	97.3	371	10	0	1	371	1	371	1.22e-265	725
APMar_Scaffold_7180000000032|quiver_715	AHI32812.1|GT30	99.8	422	1	0	1	422	1	422	3.10e-303	825
APMar_Scaffold_7180000000032|quiver_721	QUF70630.1|GH24	57.1	624	254	5	16	629	13	632	1.29e-170	520
APMar_Scaffold_7180000000032|quiver_723	AXS84777.1|CBM50	44.4	855	468	7	11	863	55	904	5.48e-234	686
APMar_Scaffold_7180000000032|quiver_741	ALR09732.2|GH92	41.5	737	401	12	55	771	3	729	2.50e-167	505
APMar_Scaffold_7180000000032|quiver_744	AZR40324.1|GT51	100	828	0	0	1	828	1	828	0.0	1579
APMar_Scaffold_7180000000032|quiver_759	AMJ20543.1|GH13_11	55.5	407	177	2	12	415	4	409	4.66e-154	446
APMar_Scaffold_7180000000032|quiver_775	ALR08391.2|GT4	57.3	351	140	2	1	341	1	351	1.62e-128	379
APMar_Scaffold_7180000000032|quiver_797	AGL63717.2|GT4	46.6	671	289	8	161	830	107	709	1.51e-181	545
APMar_Scaffold_7180000000032|quiver_810	AHC21644.2|GH1	47.9	518	265	3	4	520	8	521	5.57e-166	485
APMar_Scaffold_7180000000032|quiver_831	AZC46349.1|GT28	51.4	346	167	1	30	374	33	378	5.31e-110	344
APMar_Scaffold_7180000000032|quiver_832	ARM85370.1|GT28	99.7	361	1	0	1	361	1	361	5.11e-262	715
APMar_Scaffold_7180000000032|quiver_838	ARM85364.1|CE11	100	304	0	0	1	304	1	304	1.55e-216	595
APMar_Scaffold_7180000000032|quiver_871	CAD7221988.1|GH103	46.8	607	321	2	5	610	11	616	6.35e-186	565
APMar_Scaffold_7180000000032|quiver_872	CAD7221988.1|GH103	57.2	348	147	2	25	372	631	976	2.71e-113	363
APMar_Scaffold_7180000000032|quiver_873	AZR40194.1|GH103	98.2	341	6	0	1	341	1	341	8.94e-246	672
APMar_Scaffold_7180000000032|quiver_939	AGL64700.2|GH23	51.3	355	171	2	8	361	7	360	1.08e-117	350
APMar_Scaffold_7180000000032|quiver_970	ARM85213.1|GT4	99.5	423	2	0	1	423	1	423	4.05e-317	860
APMar_Scaffold_7180000000032|quiver_1011	CAE6204650.1|GH28	49.7	600	293	4	6	598	746	1343	9.92e-194	585
APMar_Scaffold_7180000000032|quiver_1041	CAE6201330.1|GH1	54.5	649	283	6	6	643	564	1211	5.32e-247	721
APMar_Scaffold_7180000000032|quiver_1050	QCE13289.1|CE8	46.2	409	194	3	3	387	406	812	1.46e-109	355
APMar_Scaffold_7180000000032|quiver_1233	CUS04610.2|GT4	37.9	767	463	6	18	783	8	762	2.31e-159	487
APMar_Scaffold_7180000000032|quiver_1252	CAN65674.1|GH28	44.5	555	284	6	56	605	94	629	6.78e-157	489
APMar_Scaffold_7180000000032|quiver_1510	CAE6110940.1|CE8	43.8	539	280	10	27	557	265	788	7.47e-141	441
APMar_Scaffold_7180000000032|quiver_1511	CAE6076421.1|GH27	42.8	495	244	7	2	458	11	504	7.17e-118	372
APMar_Scaffold_7180000000032|quiver_1537	AZR42596.1|CBM41|CBM48|GH13_13	98.3	1051	18	0	1	1051	1	1051	0.0	2024
APMar_Scaffold_7180000000032|quiver_1552	ATE86697.1|GH36	49.5	487	235	6	1	482	717	1197	4.69e-156	480
APMar_Scaffold_7180000000032|quiver_1563	CCO12112.2|GH13_31	60.3	431	162	3	1	426	1	427	3.59e-170	489
APMar_Scaffold_7180000000032|quiver_1567	AZR42625.1|GH13_19	98.7	607	8	0	1	607	1	607	0.0	1251
APMar_Scaffold_7180000000032|quiver_1572	AZR42630.1|GH13_23	98.1	536	10	0	1	536	1	536	0.0	1121
APMar_Scaffold_7180000000032|quiver_1619	AKG15649.2|GT51	37.4	842	469	8	6	798	24	856	1.37e-174	530
APMar_Scaffold_7180000000032|quiver_1633	ALR09738.2|GH18	46.4	388	205	3	13	399	11	396	6.32e-106	328
APMar_Scaffold_7180000000032|quiver_1652	AGL63717.2|GT4	42.8	631	296	9	172	744	107	730	7.99e-162	491
APMar_Scaffold_7180000000032|quiver_1675	AGL64353.2|CBM50|GH25	47.0	574	290	6	1	569	1	565	1.31e-175	513
APMar_Scaffold_7180000000032|quiver_1681	CAE6201330.1|GH1	38.3	637	363	13	3	618	582	1209	6.89e-136	432
APMar_Scaffold_7180000000032|quiver_1687	AVI59029.1|GT2	43.0	440	241	5	1	439	1	431	2.82e-113	344
APMar_Scaffold_7180000000032|quiver_1690	ALR08738.2|GT83	54.7	596	253	7	1	587	1	588	8.03e-219	625
APMar_Scaffold_7180000000032|quiver_1721	AZR42773.1|GT4	98.9	648	7	0	1	648	1	648	0.0	1267
APMar_Scaffold_7180000000032|quiver_1729	AZR42781.1|GT2	99.0	703	7	0	1	703	1	703	0.0	1376
APMar_Scaffold_7180000000032|quiver_1747	AXS82130.1|GT2	69.9	385	116	0	1	385	1	385	6.29e-185	522
APMar_Scaffold_7180000000032|quiver_1748	AHI32142.1|GT4	85.8	373	53	0	2	374	8	380	8.78e-223	617
APMar_Scaffold_7180000000032|quiver_1749	AHI33273.1|GT4	96.5	368	13	0	1	368	1	368	2.95e-260	711
APMar_Scaffold_7180000000032|quiver_1750	QCF26297.1|GT4	74.4	446	114	0	1	446	376	821	7.34e-244	691
APMar_Scaffold_7180000000032|quiver_1751	AHI32140.1|GT2	84.4	295	46	0	1	295	6	300	9.38e-185	514
APMar_Scaffold_7180000000032|quiver_1760	AHI33267.1|CBM57	64.6	1468	485	6	20	1458	16	1477	0.0	1406
APMar_Scaffold_7180000000032|quiver_1763	AHI33265.1|GT2	52.8	316	149	0	7	322	4	319	1.33e-116	344
APMar_Scaffold_7180000000032|quiver_1838	AKG15280.2|GH103	65.8	485	164	2	1	483	1	485	2.17e-232	652
APMar_Scaffold_7180000000032|quiver_1840	AGL63871.2|GT2	45.9	505	233	7	350	851	515	982	5.98e-124	403
APMar_Scaffold_7180000000032|quiver_1851	AZV31449.1|GH23	69.1	363	108	2	1	360	817	1178	2.74e-161	487
APMar_Scaffold_7180000000032|quiver_1852	AZV31449.1|GH23	51.1	567	270	3	1	564	245	807	1.44e-202	602
APMar_Scaffold_7180000000032|quiver_1854	ARM84155.1|CBM50|GH23	100	539	0	0	1	539	36	574	0.0	1075
APMar_Scaffold_7180000000033|quiver_23	AZR39797.1|GT81	100	406	0	0	1	406	1	406	3.60e-303	823
APMar_Scaffold_7180000000033|quiver_24	AZR39796.1|GH13_18	99.8	576	1	0	1	576	1	576	0.0	1187
APMar_Scaffold_7180000000033|quiver_25	AZR39795.1|GT4	99.5	370	2	0	1	370	1	370	2.80e-275	749
APMar_Scaffold_7180000000033|quiver_28	QUF70630.1|GH24	53.8	662	287	7	7	655	4	659	8.96e-171	520
APMar_Scaffold_7180000000033|quiver_39	AGN91810.2|GT4	51.4	477	219	5	1	468	2	474	3.40e-162	471
APMar_Scaffold_7180000000033|quiver_63	ARM84850.1|GT19	100	394	0	0	1	394	1	394	1.29e-274	750
APMar_Scaffold_7180000000033|quiver_69	CAD7252683.1|GH23	35.5	671	375	16	12	637	442	1099	5.20e-109	368
APMar_Scaffold_7180000000033|quiver_110	QBQ55156.1|CBM50	38.5	660	384	12	152	806	62	704	8.47e-124	399
APMar_Scaffold_7180000000033|quiver_164	AZR39671.1|GT2	99.6	246	1	0	1	246	1	246	5.72e-179	496
APMar_Scaffold_7180000000033|quiver_190	ARM84731.1|GH23	98.2	505	9	0	1	505	1	505	0.0	1013
APMar_Scaffold_7180000000033|quiver_236	AWZ17133.1|GH13_30	34.8	1198	702	19	5	1151	406	1575	6.42e-205	641
APMar_Scaffold_7180000000033|quiver_241	CCO12112.2|GH13_31	61.8	432	156	4	1	427	1	428	2.66e-174	499
APMar_Scaffold_7180000000033|quiver_249	AZT85815.1|CBM50	74.9	283	67	1	50	328	3	285	7.96e-147	419
APMar_Scaffold_7180000000033|quiver_278	CAG7911095.1|GH5_11	39.9	951	468	20	15	940	593	1464	6.01e-226	687
APMar_Scaffold_7180000000033|quiver_325	SQK97389.1|GH3	52.8	428	118	2	1	344	28	455	1.57e-117	386
