dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e20	GT4:61	-	-	151	APMar_Scaffold_7180000000035|quiver_191	739	6.7e-69	2	151	555	704	0.9867549668874173	0.9867549668874173
GT51_e0	GT51:5325	2.4.1.129:10	-	165	APMar_Scaffold_7180000000035|quiver_372	229	1.2e-76	2	164	52	214	0.9818181818181818	0.9818181818181818
GH23_e958	GH23:159	-	-	115	APMar_Scaffold_7180000000035|quiver_374	234	4.9e-50	2	110	119	227	0.9391304347826087	0.9391304347826087
GT4_e2408	GT4:15	-	-	104	APMar_Scaffold_7180000000035|quiver_637	388	8.5e-50	1	104	212	315	0.9903846153846154	0.9903846153846154
GT90_e1	GT90:62|GT7:1	-	-	239	APMar_Scaffold_7180000000032|quiver_1076	335	1.5e-19	67	218	152	299	0.6317991631799164	0.6317991631799164
CE4_e247	CE4:16|GT4:1	-	-	145	APMar_Scaffold_7180000000032|quiver_1752	325	3.6e-28	1	144	78	283	0.9862068965517241	0.9862068965517241
GH166_e18	GH166:380	3.2.1.-:1	alpha-galactan	222	APMar_Scaffold_7180000000032|quiver_226	923	3.5e-80	1	222	49	272	0.9954954954954955	0.9954954954954955
CE4_e177	CE4:5337	3.5.1.41:1	chitin	100	APMar_Scaffold_7180000000032|quiver_393	317	1e-45	1	99	85	183	0.98	0.98
GT4_e160	GT4:11	-	-	149	APMar_Scaffold_7180000000032|quiver_696	373	4.1e-65	2	148	192	339	0.9798657718120806	0.9798657718120806
GT25_e194	GT25:12	-	-	210	APMar_Scaffold_7180000000032|quiver_698	252	1.6e-62	2	210	10	186	0.9904761904761905	0.9904761904761905
GH23_e551	GH23:1007	4.2.2.n1:2	peptidoglycan	151	APMar_Scaffold_7180000000033|quiver_190	506	3.3e-78	2	151	301	450	0.9867549668874173	0.9867549668874173
GT19_e17	GT19:7713	2.4.1.182:13	-	358	APMar_Scaffold_7180000000033|quiver_63	395	3.5e-160	1	358	18	375	0.9972067039106145	0.9972067039106145
AA3_e57	AA3_2:11	-	-	532	APMar_Scaffold_7180000000034|quiver_554	562	2.5e-212	1	532	6	530	0.9981203007518797	0.9981203007518797
GH13_e23	GH13_32:70|CBM20:21|GH13:9|CBM26:8|CBM25:1	3.2.1.1:2|3.2.1.-:1	sucrose, starch, starch	267	APMar_Scaffold_7180000000034|quiver_615	572	1e-126	1	267	53	323	0.9962546816479401	0.9962546816479401
CBM20_e11	CBM20:32|GH13_32:27|GH13:3|GH14:1|CBM25:1	3.2.1.-:1	starch	91	APMar_Scaffold_7180000000034|quiver_615	572	1.4e-40	2	90	475	563	0.967032967032967	0.967032967032967
GH23_e321	GH23:20	-	-	123	APMar_Scaffold_7180000000035|quiver_405	218	1.9e-70	1	122	60	181	0.983739837398374	0.983739837398374
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	APMar_Scaffold_7180000000035|quiver_468	468	8.3e-18	7	209	42	249	0.4844124700239808	0.4844124700239808
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	APMar_Scaffold_7180000000035|quiver_49	622	3.2e-48	14	261	55	338	0.5210970464135021	0.5210970464135021
GH73_e204	GH73:1619	-	-	137	APMar_Scaffold_7180000000039|quiver_106	330	1.1e-58	2	136	180	314	0.9781021897810219	0.9781021897810219
AA2_e1	AA2:59	-	-	252	APMar_Scaffold_7180000000039|quiver_175	738	6.9e-19	2	109	68	180	0.4246031746031746	0.4246031746031746
GT4_e665	GT4:30	-	-	139	APMar_Scaffold_7180000000040|quiver_124	326	8.1e-67	1	138	146	283	0.9856115107913669	0.9856115107913669
